Business Name,Industry,Business Size,Website,Social Media,SEO Score,Budget,Goal,Recommended Service
"Labadie, Schimmel and Bergnaum",Healthcare,Small,True,Low,85,656198,Expand Business,Branding
"Breitenberg, Hilll and Kris",IT Services,Small,False,Medium,82,51472,Increase Website Traffic,Branding
"Wunsch, Dach and Macejkovic",Finance,Small,False,High,35,849631,Expand Business,Website Development
"Dietrich, Klein and Wunsch",Healthcare,Medium,True,Medium,3,559056,Boost Sales,SEO
Keebler-Harber,E-commerce,Large,False,Low,60,5979,Automate Operations,Website Development
Rogahn Inc,Retail,Large,False,Low,85,293412,Boost Sales,Website Development
Witting Inc,Manufacturing,Large,False,Medium,35,694297,Automate Operations,AI Automation
Hagenes-Stoltenberg,Manufacturing,Small,False,High,2,774923,Automate Operations,AI Automation
Boehm-Bergstrom,Finance,Small,False,High,21,552413,Automate Operations,AI Automation
"Wisoky, Simonis and Ortiz",Restaurant,Small,True,Medium,13,365527,Boost Sales,SEO
Maggio-Abbott,Retail,Medium,False,Low,80,72338,Expand Business,Social Media Marketing
Dicki LLC,Real Estate,Small,True,High,14,56280,Boost Sales,SEO
Koss-Schmitt,Restaurant,Large,True,Low,38,419717,Boost Sales,SEO
Windler-Schultz,Real Estate,Large,False,Low,52,315820,Improve Online Presence,Website Development
"Hintz, Reinger and Goyette",Real Estate,Small,True,Medium,59,53351,Improve Customer Experience,Branding
Sanford Group,Manufacturing,Medium,True,High,37,788714,Expand Business,SEO
Kohler Group,Restaurant,Large,False,High,91,456390,Improve Customer Experience,Website Development
Powlowski-Brekke,Finance,Medium,False,High,99,692560,Brand Awareness,Website Development
"Hagenes, Casper and Fritsch",E-commerce,Large,True,Low,6,158326,Improve Customer Experience,SEO
Pacocha and Sons,Restaurant,Medium,True,Medium,47,957490,Generate Leads,Social Media Marketing
"Hudson, Schoen and Pouros",Retail,Small,False,High,24,423858,Increase Customers,Website Development
Schuster Group,Healthcare,Large,False,High,49,33569,Increase Customers,Branding
Ferry-Bartoletti,Manufacturing,Large,True,High,90,381119,Improve Customer Experience,Branding
Kilback Group,Finance,Large,True,Low,12,187195,Launch Mobile App,App Development
Kassulke-Langworth,Real Estate,Small,False,Low,28,916062,Generate Leads,Website Development
"Waters, Monahan and Kub",Healthcare,Medium,True,High,13,654388,Improve Customer Experience,SEO
Blanda-Schimmel,Restaurant,Small,True,High,65,438472,Generate Leads,Social Media Marketing
"Conroy, Sipes and Cartwright",Retail,Small,False,Low,97,707849,Launch Mobile App,App Development
Mraz-Hermann,Travel,Medium,True,Low,2,795362,Increase Customers,SEO
Willms-Becker,IT Services,Large,True,High,83,801935,Launch Mobile App,App Development
Abbott and Sons,Retail,Small,False,Medium,22,265426,Brand Awareness,Website Development
Watsica LLC,Education,Small,False,High,9,90207,Brand Awareness,Branding
Cartwright-Trantow,Retail,Small,True,High,4,108008,Boost Sales,SEO
Durgan and Sons,Real Estate,Large,True,Medium,59,942762,Brand Awareness,Branding
Parker-Cartwright,Healthcare,Large,False,High,69,448587,Increase Customers,Website Development
Lebsack-West,Restaurant,Large,True,High,96,731671,Boost Sales,Social Media Marketing
Littel and Sons,Real Estate,Small,False,Medium,90,234447,Improve Online Presence,Website Development
Blanda Inc,IT Services,Small,True,High,29,7036,Improve Customer Experience,SEO
Maggio Inc,Finance,Medium,True,Low,55,51467,Expand Business,SEO
"Greenfelder, Ruecker and Harber",Healthcare,Large,False,Medium,78,245227,Improve Online Presence,Website Development
Hermann-Grady,IT Services,Medium,True,Medium,85,42726,Boost Sales,Social Media Marketing
Erdman-Steuber,IT Services,Small,False,Medium,91,615921,Generate Leads,Website Development
Willms-Hoeger,IT Services,Medium,False,High,3,359723,Boost Sales,Website Development
Greenholt and Sons,Healthcare,Small,False,Low,64,65440,Boost Sales,Social Media Marketing
"Ward, Koelpin and Murray",Finance,Small,True,Medium,35,3940,Brand Awareness,SEO
Jakubowski and Sons,Healthcare,Small,False,High,12,973180,Increase Customers,Website Development
"Hamill, Howe and Reynolds",Travel,Small,False,High,28,560304,Automate Operations,AI Automation
Ankunding and Sons,IT Services,Large,True,Low,28,437194,Expand Business,SEO
"Gorczany, Hudson and Lynch",Healthcare,Large,False,High,82,232414,Increase Customers,Website Development
Brown Group,Healthcare,Small,False,High,16,237461,Brand Awareness,Website Development
Hills Group,Retail,Large,True,Medium,40,160936,Launch Mobile App,App Development
Miller Inc,IT Services,Small,True,Low,26,937237,Automate Operations,AI Automation
"Ward, Jakubowski and Stamm",Travel,Medium,True,Low,27,42502,Launch Mobile App,App Development
Farrell Group,Real Estate,Small,False,Medium,78,94738,Increase Customers,Branding
Hettinger-Kessler,Healthcare,Medium,True,Low,40,599300,Expand Business,Branding
Crist-Block,Real Estate,Small,True,High,41,581146,Improve Customer Experience,Branding
"Barrows, White and Sanford",Retail,Large,True,Medium,48,502840,Brand Awareness,Branding
O'Conner-D'Amore,Real Estate,Medium,False,Low,92,603095,Launch Mobile App,App Development
Welch-Hagenes,Healthcare,Medium,True,High,54,738733,Automate Operations,AI Automation
Reilly-Simonis,Manufacturing,Medium,False,Low,10,924449,Generate Leads,Website Development
"Fadel, King and Brown",Retail,Small,False,Low,29,160900,Automate Operations,AI Automation
Hoeger-Mueller,Real Estate,Medium,True,High,21,594837,Launch Mobile App,App Development
Ledner and Sons,Restaurant,Medium,True,Medium,86,23523,Improve Customer Experience,Branding
"Emard, Grady and Fahey",Retail,Small,True,High,42,368247,Improve Customer Experience,Branding
"Marks, Ledner and Cronin",Finance,Large,True,Medium,52,612482,Brand Awareness,Branding
Witting-Schmidt,Real Estate,Large,True,High,14,593550,Brand Awareness,SEO
"McClure, Ondricka and Morissette",Retail,Large,True,Medium,15,351180,Generate Leads,SEO
Auer-Conn,IT Services,Medium,True,High,84,214818,Automate Operations,AI Automation
Reinger-Rohan,E-commerce,Small,True,High,75,400005,Expand Business,Branding
"Leannon, Batz and Metz",Retail,Large,False,High,5,554885,Brand Awareness,Website Development
"Tromp, Miller and Cummings",Manufacturing,Small,True,Medium,67,34614,Boost Sales,Social Media Marketing
Jaskolski-Jakubowski,IT Services,Medium,False,Low,30,744285,Improve Customer Experience,Website Development
Skiles-Bogisich,Real Estate,Large,True,Medium,5,711632,Generate Leads,SEO
Mertz and Sons,Restaurant,Large,True,Medium,89,853020,Increase Customers,Branding
Morissette-Herman,Travel,Large,False,High,60,286821,Improve Customer Experience,Website Development
Kutch LLC,Travel,Medium,False,High,11,264690,Improve Customer Experience,Website Development
Trantow-Beer,Real Estate,Large,False,High,72,142701,Increase Customers,Branding
Conroy LLC,Healthcare,Medium,True,High,19,712018,Expand Business,SEO
"Orn, Witting and Beatty",Retail,Large,False,Low,45,633362,Automate Operations,AI Automation
Davis-Ferry,Real Estate,Small,True,High,38,750144,Increase Customers,SEO
"Hessel, Daniel and Ruecker",E-commerce,Large,True,Low,74,345617,Expand Business,Branding
"Hessel, Johns and Will",Manufacturing,Small,True,High,14,22789,Automate Operations,Website Development
"Gusikowski, Jacobs and Williamson",IT Services,Medium,True,Low,34,305213,Brand Awareness,SEO
Olson Group,Education,Large,False,Low,1,583931,Improve Customer Experience,Website Development
Denesik-Dickinson,Healthcare,Large,True,Low,65,939976,Improve Customer Experience,Branding
Ratke-Schaefer,Manufacturing,Small,True,Medium,96,580511,Expand Business,Branding
Cummings and Sons,Restaurant,Small,False,Medium,63,633079,Increase Website Traffic,Website Development
"Nicolas, Will and Hessel",Retail,Small,True,Low,57,603147,Generate Leads,Social Media Marketing
Keeling-Williamson,Retail,Medium,False,High,79,687883,Brand Awareness,Website Development
Schuppe Group,Manufacturing,Medium,True,Medium,32,125082,Increase Website Traffic,SEO
Leuschke LLC,Restaurant,Large,True,Low,100,138662,Improve Online Presence,Social Media Marketing
"Schaefer, Gerhold and Hirthe",Real Estate,Medium,True,Low,1,801292,Expand Business,SEO
"Dibbert, Cruickshank and Green",E-commerce,Medium,False,Medium,37,811659,Generate Leads,Website Development
"MacGyver, Mohr and Thiel",Retail,Medium,True,High,16,910742,Brand Awareness,SEO
Grimes-Schneider,Travel,Small,True,High,27,22884,Boost Sales,SEO
Kulas-Ritchie,Retail,Large,True,Low,28,93213,Improve Online Presence,SEO
Kilback-Pacocha,E-commerce,Large,False,High,61,283646,Generate Leads,Website Development
"Grady, Weber and Lind",IT Services,Medium,True,Low,27,669139,Increase Customers,SEO
Waelchi and Sons,E-commerce,Small,True,Medium,89,568890,Improve Customer Experience,Branding
Ondricka Inc,Finance,Small,True,Low,91,993216,Launch Mobile App,App Development
"Bernhard, O'Connell and Langworth",IT Services,Small,False,Low,84,390920,Automate Operations,AI Automation
"Johnson, Ruecker and Lebsack",Education,Medium,True,Low,97,721802,Boost Sales,Social Media Marketing
Morissette Inc,Travel,Small,False,High,87,778649,Increase Customers,Website Development
"Fahey, Hintz and Lebsack",Finance,Large,True,High,70,938316,Increase Website Traffic,SEO
Schmitt and Sons,Education,Small,False,High,22,750245,Automate Operations,AI Automation
Schumm and Sons,E-commerce,Large,False,High,81,486174,Launch Mobile App,App Development
Weimann-Cummings,Restaurant,Large,True,Medium,12,438116,Launch Mobile App,App Development
Swift-Mayert,E-commerce,Large,False,Medium,1,580592,Improve Customer Experience,Website Development
Schmeler-Reilly,Restaurant,Small,False,High,1,2749,Boost Sales,Branding
Russel Group,Restaurant,Large,False,Medium,19,64411,Brand Awareness,Branding
Armstrong-Thompson,Real Estate,Small,True,Medium,13,729776,Launch Mobile App,App Development
Denesik-Bednar,Manufacturing,Medium,False,Medium,59,706527,Boost Sales,Website Development
McCullough-Block,Real Estate,Small,True,Medium,34,379655,Automate Operations,AI Automation
Nitzsche-Heller,E-commerce,Small,False,Low,57,803227,Automate Operations,AI Automation
"Tromp, Daugherty and Tillman",Manufacturing,Large,False,Medium,78,965228,Brand Awareness,Website Development
Hills-Muller,IT Services,Small,True,Medium,45,727268,Expand Business,Branding
Padberg LLC,Real Estate,Small,True,Low,89,817442,Increase Customers,Branding
Ernser Group,IT Services,Small,True,Medium,100,404957,Improve Customer Experience,Branding
"VonRueden, Wehner and Stehr",Retail,Medium,False,High,17,1280,Launch Mobile App,App Development
Hackett-Beer,Restaurant,Small,False,Low,0,439637,Increase Website Traffic,Website Development
Schmitt LLC,E-commerce,Large,False,High,91,86131,Improve Online Presence,Branding
Okuneva Group,Restaurant,Small,True,High,87,303842,Generate Leads,Social Media Marketing
"Rosenbaum, Hayes and Powlowski",Education,Medium,True,Low,68,800700,Boost Sales,Social Media Marketing
Ruecker and Sons,Real Estate,Large,False,Low,30,571833,Generate Leads,Website Development
McGlynn-Herman,Restaurant,Large,False,Medium,92,72454,Automate Operations,Website Development
Maggio LLC,Finance,Large,True,High,3,503920,Automate Operations,AI Automation
Keeling-Kohler,E-commerce,Small,True,High,7,824316,Expand Business,SEO
"Mills, Lakin and Metz",Healthcare,Medium,False,High,96,826965,Improve Customer Experience,Website Development
Boyer-Boehm,Manufacturing,Small,True,High,19,9337,Automate Operations,Website Development
"Littel, Prosacco and Balistreri",Travel,Large,False,Medium,57,27020,Boost Sales,Branding
Simonis-Sporer,E-commerce,Medium,True,High,92,660660,Brand Awareness,Branding
"Grimes, Dach and Grimes",E-commerce,Small,True,High,40,149433,Launch Mobile App,App Development
"Koss, Witting and Beatty",Finance,Small,True,Medium,34,675625,Improve Customer Experience,SEO
Harris-Adams,Travel,Large,True,High,13,292728,Expand Business,SEO
Harvey and Sons,Real Estate,Large,True,Low,93,143999,Improve Customer Experience,Branding
Beier and Sons,IT Services,Medium,True,Low,57,685059,Generate Leads,Social Media Marketing
Prohaska-Roberts,Education,Large,True,High,27,20346,Automate Operations,Website Development
Bednar-Armstrong,Travel,Large,True,High,51,446001,Improve Customer Experience,Branding
Howell-Reilly,E-commerce,Medium,True,Low,56,639983,Boost Sales,Social Media Marketing
"Runolfsdottir, Feil and Turner",E-commerce,Large,False,Medium,31,831081,Launch Mobile App,App Development
"Ruecker, Wintheiser and Zulauf",Restaurant,Medium,True,Medium,60,873685,Expand Business,Branding
Grimes LLC,E-commerce,Medium,False,Low,79,635889,Improve Online Presence,Website Development
Dicki Group,IT Services,Small,True,Low,87,636197,Generate Leads,Social Media Marketing
"Gislason, Nienow and Marks",Travel,Small,True,High,33,924656,Increase Website Traffic,SEO
Windler Inc,Restaurant,Medium,True,Medium,53,874965,Boost Sales,Social Media Marketing
Stokes-Beer,Healthcare,Small,True,High,56,475218,Expand Business,Branding
Schumm Inc,Manufacturing,Small,False,High,45,939446,Increase Website Traffic,Website Development
Strosin and Sons,Travel,Small,False,High,3,738901,Increase Website Traffic,Website Development
"Gibson, Volkman and Zieme",Retail,Large,True,Low,91,423362,Generate Leads,Social Media Marketing
Kuhn LLC,Healthcare,Medium,True,Medium,2,575840,Increase Customers,SEO
Bayer-Cole,Finance,Medium,False,High,68,92394,Improve Online Presence,Branding
Wintheiser Inc,Education,Large,True,High,41,661660,Automate Operations,AI Automation
"Cartwright, Tillman and King",Restaurant,Large,False,Low,42,921629,Improve Customer Experience,Website Development
Roberts Inc,Finance,Large,False,Medium,71,494112,Launch Mobile App,App Development
Rogahn-Corwin,Restaurant,Large,True,Medium,63,492649,Increase Customers,Branding
Okuneva-Considine,IT Services,Large,True,High,91,239103,Expand Business,Branding
"Bogan, Stracke and Bernier",Restaurant,Medium,False,Low,70,159403,Launch Mobile App,App Development
"Hane, Beer and Bogan",Education,Large,True,Low,89,879028,Increase Customers,Branding
Kilback-Kreiger,IT Services,Large,False,Medium,33,440708,Increase Website Traffic,Website Development
Batz-Kertzmann,Restaurant,Large,True,High,65,837625,Increase Customers,Branding
Smitham LLC,Restaurant,Large,False,Low,46,592582,Increase Website Traffic,Website Development
Hamill Group,Education,Large,False,Medium,61,426242,Expand Business,Website Development
Nienow Group,Education,Medium,False,High,87,680076,Improve Customer Experience,Website Development
"Auer, Jacobi and Lynch",E-commerce,Medium,True,Medium,95,306242,Boost Sales,Social Media Marketing
Wisoky-Mayert,IT Services,Small,True,Medium,7,275929,Boost Sales,SEO
Shanahan Group,Healthcare,Large,True,Low,60,567494,Automate Operations,AI Automation
Jones Inc,Manufacturing,Large,True,Low,80,835004,Increase Website Traffic,SEO
Ziemann LLC,Healthcare,Small,False,Low,76,244525,Improve Online Presence,Website Development
"Grady, Fritsch and Kuhic",Restaurant,Medium,True,Medium,52,831908,Increase Website Traffic,SEO
Rippin-Runolfsdottir,E-commerce,Large,True,Medium,97,990929,Brand Awareness,Branding
Zemlak-Sauer,Finance,Large,False,Low,75,717672,Increase Website Traffic,Website Development
White Group,Retail,Small,False,Low,4,850383,Automate Operations,AI Automation
Franecki-Mohr,Education,Medium,True,Medium,43,415440,Increase Website Traffic,SEO
"Bernhard, McCullough and Tremblay",IT Services,Medium,False,Low,58,97527,Improve Customer Experience,Social Media Marketing
Heathcote-Streich,Travel,Large,False,Low,58,814241,Expand Business,Website Development
Fadel and Sons,Restaurant,Small,True,Medium,61,61402,Brand Awareness,Branding
Kunde and Sons,Finance,Small,False,Medium,91,928769,Improve Customer Experience,Website Development
McDermott-Gerhold,Healthcare,Large,True,High,15,236263,Brand Awareness,SEO
Kovacek Group,E-commerce,Large,False,Low,80,673437,Boost Sales,Website Development
Mraz LLC,Healthcare,Small,False,Low,10,582767,Automate Operations,AI Automation
Goldner and Sons,E-commerce,Small,True,High,100,501415,Generate Leads,Social Media Marketing
"Grady, Stoltenberg and Johnson",Travel,Small,True,Medium,16,128107,Automate Operations,AI Automation
"Conn, Mayert and Aufderhar",E-commerce,Large,True,Low,43,364918,Generate Leads,Social Media Marketing
Nicolas Group,IT Services,Medium,False,High,49,147594,Launch Mobile App,App Development
Schimmel and Sons,Travel,Small,False,Low,28,745890,Increase Customers,Website Development
"Towne, Hermiston and Jast",Travel,Large,False,High,16,455818,Boost Sales,Website Development
"Ruecker, Walsh and Fay",IT Services,Small,False,High,71,432640,Increase Customers,Website Development
Bailey Group,Manufacturing,Large,False,Low,17,438631,Boost Sales,Website Development
"Blanda, Paucek and Rice",Travel,Small,True,Low,86,488060,Improve Online Presence,Social Media Marketing
O'Connell-Kerluke,Finance,Large,False,Low,33,60038,Generate Leads,Social Media Marketing
Torp-Bednar,IT Services,Large,False,Medium,58,331977,Brand Awareness,Website Development
Okuneva Group,E-commerce,Medium,True,Low,59,529814,Increase Website Traffic,SEO
"Pfannerstill, Howe and Beer",Finance,Medium,True,Medium,35,664564,Brand Awareness,SEO
McDermott Group,Restaurant,Large,True,High,24,247538,Increase Customers,SEO
Schulist-Bergnaum,Healthcare,Small,False,Low,33,642264,Automate Operations,AI Automation
Yost-Kirlin,E-commerce,Small,True,Medium,26,57027,Increase Website Traffic,SEO
Terry-Smith,Real Estate,Small,True,Medium,34,810331,Boost Sales,SEO
Gorczany-Powlowski,Education,Medium,False,Low,28,197756,Brand Awareness,Social Media Marketing
Gulgowski-Bartell,Real Estate,Medium,True,Medium,21,433691,Boost Sales,SEO
Little Inc,Education,Large,False,Medium,90,625467,Increase Website Traffic,Website Development
"Goldner, Beier and Erdman",Education,Large,True,Low,17,749743,Increase Customers,SEO
Prosacco LLC,Restaurant,Small,True,Medium,6,152413,Brand Awareness,SEO
Hartmann LLC,Real Estate,Small,True,Medium,4,935122,Improve Customer Experience,SEO
Wisozk and Sons,Education,Small,True,High,65,711240,Boost Sales,Social Media Marketing
Lindgren Inc,Real Estate,Large,True,High,79,502764,Expand Business,Branding
Sipes-Ruecker,Travel,Large,False,Medium,29,965624,Generate Leads,Website Development
Quigley Group,E-commerce,Small,True,High,79,259351,Improve Online Presence,SEO
Kris Inc,Retail,Large,True,Medium,90,423269,Generate Leads,Social Media Marketing
Hauck-Kertzmann,E-commerce,Small,False,Medium,95,4030,Expand Business,Branding
"Lueilwitz, Graham and Jast",Real Estate,Small,False,Medium,25,521872,Improve Online Presence,Website Development
Botsford-Bosco,Travel,Medium,True,Medium,5,379876,Increase Customers,SEO
Bins-Bednar,Education,Large,False,High,98,821333,Expand Business,Website Development
Doyle Inc,E-commerce,Large,False,High,50,241786,Launch Mobile App,App Development
Green Inc,Healthcare,Large,True,Low,43,722896,Launch Mobile App,App Development
Lakin Group,IT Services,Small,False,Medium,4,715875,Improve Online Presence,Website Development
Bruen-Bayer,Restaurant,Small,False,Low,28,538152,Increase Customers,Website Development
Stracke-Jerde,Finance,Medium,False,Medium,17,154012,Increase Website Traffic,Branding
"Rutherford, Brown and Leffler",Education,Large,False,Medium,36,732247,Boost Sales,Website Development
Bashirian-Schamberger,Restaurant,Large,False,High,15,387402,Expand Business,Website Development
"Zemlak, Daugherty and Lynch",Travel,Small,False,Medium,100,546624,Improve Online Presence,Website Development
Schiller-Trantow,Education,Medium,True,High,26,401491,Brand Awareness,SEO
"Kovacek, Schroeder and Dietrich",Real Estate,Medium,False,Low,59,163146,Increase Customers,Social Media Marketing
Kovacek Inc,Healthcare,Small,False,High,64,443451,Launch Mobile App,App Development
"Daniel, Senger and Rath",E-commerce,Large,False,High,24,425006,Increase Customers,Website Development
Langworth-Considine,Manufacturing,Large,False,Low,61,49062,Brand Awareness,Social Media Marketing
"Green, Connelly and Nikolaus",Healthcare,Medium,False,Low,92,570283,Improve Customer Experience,Website Development
"Cole, Wolf and Hamill",Healthcare,Medium,False,High,78,754480,Improve Customer Experience,Website Development
"Terry, Johnston and Stroman",Finance,Large,False,Medium,97,61270,Boost Sales,Branding
Mertz-Aufderhar,E-commerce,Small,True,Medium,51,280474,Increase Website Traffic,SEO
Prohaska Group,Finance,Small,False,Low,74,818022,Automate Operations,AI Automation
Keeling-Jast,Education,Medium,False,Medium,52,237596,Increase Customers,Website Development
Ruecker Inc,Travel,Small,False,Low,61,487126,Launch Mobile App,App Development
Sauer Inc,Healthcare,Small,True,Low,56,449677,Generate Leads,Social Media Marketing
"Wilderman, Armstrong and Rempel",Restaurant,Small,True,High,56,105471,Increase Customers,Branding
Metz and Sons,E-commerce,Small,False,Low,21,634680,Launch Mobile App,App Development
King-Sauer,Healthcare,Large,False,Low,36,293752,Improve Customer Experience,Website Development
"Gibson, Kemmer and Cummings",Healthcare,Large,True,High,89,854704,Brand Awareness,Branding
Lang-McKenzie,Travel,Small,False,Low,58,701716,Brand Awareness,Website Development
Hand-Hodkiewicz,E-commerce,Large,True,Medium,35,389513,Improve Online Presence,SEO
Koss-Bruen,Real Estate,Small,False,Low,96,279649,Generate Leads,Website Development
Green-Hackett,Restaurant,Small,True,Low,67,826855,Automate Operations,AI Automation
Hand LLC,Restaurant,Large,True,High,70,212652,Generate Leads,Social Media Marketing
"Bahringer, Koss and Parker",Retail,Large,False,Medium,21,802612,Boost Sales,Website Development
"Hayes, Von and Friesen",Healthcare,Medium,True,Low,13,334356,Boost Sales,SEO
